targetId,comparatorId,outcomeId,outcomeName,type
2683,2672,434165,Abnormal cervical smear,outcome
2683,2672,436409,Abnormal pupil,outcome
2683,2672,199192,Abrasion and/or friction burn of trunk without infection,outcome
2683,2672,4088290,Absence of breast,outcome
2683,2672,4092879,Absent kidney,outcome
2683,2672,436634,Acariasis,outcome
2683,2672,44783954,Acid reflux,outcome
2683,2672,75911,Acquired hallux valgus,outcome
2683,2672,137951,Acquired keratoderma,outcome
2683,2672,77965,Acquired trigger finger,outcome
2683,2672,376707,Acute conjunctivitis,outcome
2683,2672,4103640,Amputated foot,outcome
2683,2672,432595,Amyloidosis,outcome
2683,2672,73241,Anal and rectal polyp,outcome
2683,2672,437082,Ankylosing spondylitis,outcome
2683,2672,77650,Aseptic necrosis of bone,outcome
2683,2672,378424,Astigmatism,outcome
2683,2672,374923,Bell's palsy,outcome
2683,2672,4110709,Benign epithelial neoplasm of skin,outcome
2683,2672,133655,Burn of forearm,outcome
2683,2672,73560,Calcaneal spur,outcome
2683,2672,434327,Cannabis abuse,outcome
2683,2672,4213540,Cervical somatic dysfunction,outcome
2683,2672,381581,Chalazion,outcome
2683,2672,140842,Changes in skin texture,outcome
2683,2672,438531,Chondromalacia,outcome
2683,2672,81378,Chondromalacia of patella,outcome
2683,2672,4201390,Colostomy present,outcome
2683,2672,46269889,Complication due to Crohn's disease,outcome
2683,2672,134438,Contact dermatitis,outcome
2683,2672,78619,Contusion of knee,outcome
2683,2672,201606,Crohn's disease,outcome
2683,2672,260134,Croup,outcome
2683,2672,76786,Derangement of knee,outcome
2683,2672,4115402,Difficulty sleeping,outcome
2683,2672,443767,Disorder of eye due to diabetes mellitus,outcome
2683,2672,45757370,Disproportion of reconstructed breast,outcome
2683,2672,433111,Effects of hunger,outcome
2683,2672,441589,Endocarditis,outcome
2683,2672,200775,Endometrial hyperplasia,outcome
2683,2672,433527,Endometriosis,outcome
2683,2672,73008,Enthesopathy,outcome
2683,2672,4249170,Epicondylitis,outcome
2683,2672,4170770,Epidermoid cyst,outcome
2683,2672,4092896,Feces contents abnormal,outcome
2683,2672,259995,Foreign body in orifice,outcome
2683,2672,4050747,Fracture of upper limb,outcome
2683,2672,196456,Gallstone,outcome
2683,2672,40481632,Ganglion cyst,outcome
2683,2672,4166231,Genetic predisposition,outcome
2683,2672,74855,Genital herpes simplex,outcome
2683,2672,433577,Hammer toe,outcome
2683,2672,441818,Hemangioma,outcome
2683,2672,4231770,Hereditary thrombophilia,outcome
2683,2672,4012570,High risk sexual behavior,outcome
2683,2672,4038835,Hodgkin's disease,outcome
2683,2672,441788,Human papilloma virus infection,outcome
2683,2672,4254542,Hypopituitarism,outcome
2683,2672,4201717,Ileostomy present,outcome
2683,2672,374375,Impacted cerumen,outcome
2683,2672,140480,Impetigo,outcome
2683,2672,4344500,Impingement syndrome of shoulder region,outcome
2683,2672,139099,Ingrowing nail,outcome
2683,2672,444132,Injury of knee,outcome
2683,2672,434926,Iridocyclitis,outcome
2683,2672,196168,Irregular periods,outcome
2683,2672,75576,Irritable bowel syndrome,outcome
2683,2672,432593,Kwashiorkor,outcome
2683,2672,434203,Late effect of contusion,outcome
2683,2672,438329,Late effect of motor vehicle accident,outcome
2683,2672,443285,Lesion of cervix,outcome
2683,2672,195873,Leukorrhea,outcome
2683,2672,440638,Lyme disease,outcome
2683,2672,4083487,Macular drusen,outcome
2683,2672,4156115,Malignant neoplasm of endocrine gland,outcome
2683,2672,4103703,Melena,outcome
2683,2672,4134455,Mononeuropathy,outcome
2683,2672,4209423,Nicotine dependence,outcome
2683,2672,377572,Noise effects on inner ear,outcome
2683,2672,136368,Non-toxic multinodular goiter,outcome
2683,2672,40480893,Nonspecific tuberculin test reaction,outcome
2683,2672,4215978,Onychomycosis,outcome
2683,2672,140648,Onychomycosis due to dermatophyte,outcome
2683,2672,438130,Opioid abuse,outcome
2683,2672,75354,Osteochondropathy,outcome
2683,2672,4091513,Passing flatus,outcome
2683,2672,4112731,Polyp of intestine,outcome
2683,2672,4202045,Postviral fatigue syndrome,outcome
2683,2672,373478,Presbyopia,outcome
2683,2672,46286594,Problem related to lifestyle,outcome
2683,2672,439790,Psychalgia,outcome
2683,2672,81634,Ptotic breast,outcome
2683,2672,4087647,Rectal mass,outcome
2683,2672,380706,Regular astigmatism,outcome
2683,2672,438688,Sarcoidosis,outcome
2683,2672,4169984,Scar,outcome
2683,2672,141932,Senile hyperkeratosis,outcome
2683,2672,254443,Sjogren's syndrome,outcome
2683,2672,36713918,Somatic dysfunction of lumbar region,outcome
2683,2672,443172,"Splinter of face, without major open wound",outcome
2683,2672,81151,Sprain of ankle,outcome
2683,2672,72748,Strain of rotator cuff capsule,outcome
2683,2672,378427,Tear film insufficiency,outcome
2683,2672,134461,Tietze's disease,outcome
2683,2672,437264,Tobacco dependence syndrome,outcome
2683,2672,4234533,Tonsillitis,outcome
2683,2672,4030042,Toxic goiter,outcome
2683,2672,81893,Ulcerative colitis,outcome
2683,2672,194083,Vaginitis and vulvovaginitis,outcome
2683,2672,140641,Verruca vulgaris,outcome
2683,2672,380038,Viral conjunctivitis,outcome
